id,site_id,wms_url,county,year,location,n_unk_res,n_frk_res,n_oth_res,n_tot_res,crowd_sel,qaqc,p_crd_a,p_s_crd_a
16704,c7e392eb-d22d-54da-a842-ee8c5cbc917d,https://mapsengine.google.com/06136759344167181854-00219351362547715467-4/wms/?version=1.3.0,Bradford,2008,41.6683043229-76.1542741538---2008,0,0,3,3,other,,100,None
14367,897c46a7-a69b-559e-b030-5989515af3cf,https://mapsengine.google.com/06136759344167181854-00219351362547715467-4/wms/?version=1.3.0,Susquehanna,2008,41.831036712-76.0717389681---2008,0,0,3,3,other,,100,None
15759,26bf1b19-aa63-5107-9294-7651ce35674e,https://mapsengine.google.com/06136759344167181854-00219351362547715467-4/wms/?version=1.3.0,Bradford,2008,41.7482504267-76.8556189001---2008,0,0,3,3,other,,100,None
15750,1e9385f3-e862-53cb-8f4b-e3af6688cb4f,https://mapsengine.google.com/06136759344167181854-00219351362547715467-4/wms/?version=1.3.0,Bradford,2008,41.7735282355-76.8532488623---2008,0,0,3,3,other,,100,None
15885,61727b51-8e0e-5640-a15e-93dfc301aef7,https://mapsengine.google.com/06136759344167181854-00219351362547715467-4/wms/?version=1.3.0,Bradford,2008,41.6987914148-76.44527965---2008,0,0,3,3,other,,100,None
15750,1e9385f3-e862-53cb-8f4b-e3af6688cb4f,https://mapsengine.google.com/06136759344167181854-00219351362547715467-4/wms/?version=1.3.0,Bradford,2008,41.7691790138-76.8546301958---2008,0,0,3,3,other,,100,None
15861,59628ab7-2fd2-5e16-bbe3-2bbc017f280f,https://mapsengine.google.com/06136759344167181854-00219351362547715467-4/wms/?version=1.3.0,Bradford,2008,41.7644597288-76.500044765---2008,0,0,3,3,other,,100,None
15927,6ec9d418-5294-5353-9a44-c58425ad1592,https://mapsengine.google.com/06136759344167181854-00219351362547715467-4/wms/?version=1.3.0,Bradford,2008,41.7857307457-76.2281782115---2008,0,0,3,3,other,,100,None
16620,a53a1831-9db3-5e24-8838-dcedb4bd7c0b,https://mapsengine.google.com/06136759344167181854-00219351362547715467-4/wms/?version=1.3.0,Bradford,2008,41.6007361574-76.5365733392---2008,0,0,3,3,other,,100,None
14448,b4e8290f-c220-51d7-8977-be91d7baa435,https://mapsengine.google.com/06136759344167181854-00219351362547715467-4/wms/?version=1.3.0,Susquehanna,2008,41.7056478888-75.8661264482---2008,0,3,0,3,fracking,,100,None
14451,b55a788e-f054-5039-8554-b20b8bada943,https://mapsengine.google.com/06136759344167181854-00219351362547715467-4/wms/?version=1.3.0,Susquehanna,2008,41.7003574116-75.8469067253---2008,0,0,3,3,other,,100,None
15831,46bfb5ed-19d9-582d-8685-a96b737883b7,https://mapsengine.google.com/06136759344167181854-00219351362547715467-4/wms/?version=1.3.0,Bradford,2008,41.821187523-76.8775860563---2008,0,1,2,3,other,,66,None
15939,74ccab30-e6f0-5c4c-a166-127e9caca957,https://mapsengine.google.com/06136759344167181854-00219351362547715467-4/wms/?version=1.3.0,Bradford,2008,41.7265816606-76.5630165841---2008,0,0,3,3,other,,100,None
15780,2bb4a9a0-1d16-580b-874e-b7de6497484e,https://mapsengine.google.com/06136759344167181854-00219351362547715467-4/wms/?version=1.3.0,Bradford,2008,41.7889615934-76.3118427204---2008,0,0,3,3,other,,100,None
15891,6266514d-5598-5c33-934a-d201d581c323,https://mapsengine.google.com/06136759344167181854-00219351362547715467-4/wms/?version=1.3.0,Bradford,2008,41.7487143752-76.6318584796---2008,0,0,3,3,other,,100,None
16659,bb9328fc-7f3a-5d3e-9a6b-6383fb81ed6a,https://mapsengine.google.com/06136759344167181854-00219351362547715467-4/wms/?version=1.3.0,Bradford,2008,41.7238556525-76.2627889632---2008,0,0,3,3,other,,100,None
