InputID,TargetID,Distance,Source
40.17135003-79.75687339---2008,dc97c4ba-7885-5a71-93c8-1f55512ba608,30.6862262219,Distance_Matrix-UTM17.csv
39.81876573-79.97726352---2010,c1dd85bb-4a01-5c7c-8929-7ee488d4ef04,50.1891121795,Distance_Matrix-UTM17.csv
40.38098656-79.3288558---2010,28ff81cd-2616-535e-bea6-ef64aac1c388,48.3478009775,Distance_Matrix-UTM17.csv
39.9376826-79.96689128---2010,cba0701c-48c3-51db-a313-69c8e69544f5,94.5710207999,Distance_Matrix-UTM17.csv
40.26687987-80.35435583---2010,9d391788-21d1-5948-9879-a0b07aa93d7a,36.2717727307,Distance_Matrix-UTM17.csv
40.02060897-80.03509313---2008,6fd76aa9-dbf4-5f4f-8fbe-1e12e168a2df,233.716402326,Distance_Matrix-UTM17.csv
39.90756844-80.29888741---2008,1baa2f76-0ab1-5b37-b845-db28180b2c08,137.549379044,Distance_Matrix-UTM17.csv
40.2417977-79.73662075---2008,f283c8ed-dd12-5dbe-a0f3-1c5bc6789c57,609.729301425,Distance_Matrix-UTM17.csv
40.23010998-79.73482034---2010,fb0e394f-c141-596d-89b5-607d3b9ef519,38.0113231611,Distance_Matrix-UTM17.csv
40.6775674-79.38081793---2010,a6f447b7-5eaf-580a-93df-4cc29d502a41,72.9117062407,Distance_Matrix-UTM17.csv
40.17050956-79.75742703---2008,dc97c4ba-7885-5a71-93c8-1f55512ba608,98.4949996,Distance_Matrix-UTM17.csv
39.98245527-80.2946741---2010,c90beeb2-2990-5a3e-a374-619abd541f78,46.6940266696,Distance_Matrix-UTM17.csv
39.89378479-80.06094068---2010,8f359747-86c4-55e1-a3f2-de048fbf1e3d,789.571898447,Distance_Matrix-UTM17.csv
39.73914718-79.83376547---2010,67311f92-7c4a-5993-b5dd-1c65ebef4009,59.1536170637,Distance_Matrix-UTM17.csv
39.97926099-80.06894555---2010,ffa4f3bf-92ed-53d7-bbaf-014380e660c7,142.392750944,Distance_Matrix-UTM17.csv
39.90208342-79.95552263---2008,0445268b-58ce-50e4-a7d9-b6ee336fc511,32.5457371145,Distance_Matrix-UTM17.csv
40.24498029-80.28079236---2008,90eda133-b64e-5faa-9d3f-d04e7efa6d6f,186.710968464,Distance_Matrix-UTM17.csv
39.98458921-79.69222161---2010,00e1f43f-cc8d-54d6-b7a9-5abdb84fed46,111.884127131,Distance_Matrix-UTM17.csv
39.89221026-80.02183845---2005,c9858527-09e6-5b33-9cc1-e2073a956bd6,782.291038792,Distance_Matrix-UTM17.csv
41.02550732-78.81730855---2010,4c6624eb-dc64-59eb-ac7e-80d50beeee5d,99.7662445969,Distance_Matrix-UTM17.csv
40.03397352-79.18515815---2010,7f403d8f-9bfc-5166-a861-14ec27036220,44.9718854219,Distance_Matrix-UTM17.csv
40.25430772-80.32139167---2008,bf248f22-1bfc-52d9-a482-7a1d1f9e4e02,277.591876191,Distance_Matrix-UTM17.csv
39.90624269-80.30146103---2010,1baa2f76-0ab1-5b37-b845-db28180b2c08,153.49227996,Distance_Matrix-UTM17.csv
40.27728886-80.24038595---2008,bffb0c24-0386-514a-a275-f9e1efa0a858,39.4725661191,Distance_Matrix-UTM17.csv
39.83655457-79.9753269---2008,6c91a873-4362-57f7-a298-ed9bf497546f,379.447094176,Distance_Matrix-UTM17.csv
40.83673556-79.55428496---2010,a0adb300-519d-500f-902d-0b28130fcc7c,17.8896581921,Distance_Matrix-UTM17.csv
40.43570572-79.07276494---2010,fcd50a4d-cde8-55ea-a78d-246dd0f07027,302.120223421,Distance_Matrix-UTM17.csv
40.86094955-79.57988846---2010,6b6d72eb-cb9b-5b0c-ab64-9d0b6cca4a15,55.41573097,Distance_Matrix-UTM17.csv
39.86925937-80.01002805---2010,ef986a01-79cf-5c7b-a940-ae3d8bfbecda,230.221895789,Distance_Matrix-UTM17.csv
39.9868619-80.10942011---2010,565007c1-d150-55cb-862b-454369b9cd8b,150.968119878,Distance_Matrix-UTM17.csv
39.80193479-80.00502497---2008,5b412c17-2209-5b48-a1fb-29da35facf61,27.7774517546,Distance_Matrix-UTM17.csv
39.83033403-80.00762411---2010,6bb3becb-ca34-50c8-8faf-4f8cf122a403,34.1359055827,Distance_Matrix-UTM17.csv
40.00059179-79.7011004---2010,3265a9f2-22cd-55f9-a572-5c3d1594eaa4,58.8397374522,Distance_Matrix-UTM17.csv
40.00055954-79.66188809---2010,993532d7-e57f-58d1-93b0-8c63cea41c5e,119.529695525,Distance_Matrix-UTM17.csv
39.935491-79.84168949---2008,27f83862-e05e-5eac-923b-f0981f94ee57,23.4564459735,Distance_Matrix-UTM17.csv
39.90786094-80.29698071---2008,1baa2f76-0ab1-5b37-b845-db28180b2c08,277.107839458,Distance_Matrix-UTM17.csv
39.9684416-79.83431602---2008,4aebdc34-e171-51bc-a18b-8a3f6b65418c,29.78529932,Distance_Matrix-UTM17.csv
39.88328556-79.99007231---2010,7819f71e-0d1e-505e-9d1d-dafac11be45e,123.149370736,Distance_Matrix-UTM17.csv
41.09256368-78.30643528---2008,91b55120-d5a8-5d13-a1e8-83040a4a90e9,43.1381498326,Distance_Matrix-UTM17.csv
39.95772302-79.83997547---2010,d3bdacfd-aad3-5140-998d-53e9a78efb80,105.747414361,Distance_Matrix-UTM17.csv
40.37018649-79.34017415---2010,4bee1776-c2d0-5cdd-a216-a6b9d33cf5a2,125.448480531,Distance_Matrix-UTM17.csv
41.84923506-78.15876069---2010,143d5620-3f6c-53b8-aa7b-6b466069a136,203.224932148,Distance_Matrix-UTM17.csv
39.98771277-80.10866479---2010,565007c1-d150-55cb-862b-454369b9cd8b,85.5544775248,Distance_Matrix-UTM17.csv
39.88381269-80.00559333---2008,931e8624-c5da-5909-a4b0-209fc17c5d5a,275.310286705,Distance_Matrix-UTM17.csv
41.72900693-78.17545011---2010,7f138b69-ad9a-5815-94da-892a85147900,598.69043351,Distance_Matrix-UTM17.csv
39.85212458-79.96931546---2008,fa527b32-8265-50d1-845b-15e4f0377298,82.0824793759,Distance_Matrix-UTM17.csv
40.70566514-79.40926756---2010,6b4f5860-ac9e-593c-9daf-dc3abbd4921c,18.6069583722,Distance_Matrix-UTM17.csv
39.95409016-80.09214815---2010,61e053e8-2be1-541b-ab37-abf56bbf5aa0,114.356736983,Distance_Matrix-UTM17.csv
40.01208977-79.87962592---2010,808304fe-7469-5f31-8fab-87ead724562f,31.4561466518,Distance_Matrix-UTM17.csv
39.94176606-80.03064668---2008,40eaf892-b219-5c6a-b053-dde74d24b806,66.8042036506,Distance_Matrix-UTM17.csv
39.88438532-80.04855096---2010,aac51b26-e563-53db-bb2e-20e3193fd799,126.159607255,Distance_Matrix-UTM17.csv
