WKT,X,Y,longitude,latitude,county
"POINT (-79.528192048889721 40.926073681107034)",-79.5281920000,40.9260736000,-79.5281920000,40.9260736000,Armstrong
"POINT (-77.679049515110663 41.866403351739585)",-77.6790490000,41.8664033000,-77.6790490000,41.8664033000,Potter
"POINT (-77.970038 41.5906185)",-77.9700380000,41.5906185000,-77.9700380000,41.5906185000,Potter
"POINT (-78.153011827323724 41.833528653486098)",-78.1530110000,41.8335286000,-78.1530110000,41.8335286000,Potter
"POINT (-77.607312362580586 41.673053358979956)",-77.6073120000,41.6730533000,-77.6073120000,41.6730533000,Potter
"POINT (-77.604511220179575 41.674693301937388)",-77.6045110000,41.6746933000,-77.6045110000,41.6746933000,Potter
"POINT (-79.29781805327022 41.456238364812535)",-79.2978180000,41.4562383000,-79.2978180000,41.4562383000,Forest
"POINT (-80.286787348420532 40.007461522474216)",-80.2867870000,40.0074615000,-80.2867870000,40.0074615000,Greene
"POINT (-80.284741704672797 40.002761562394511)",-80.2847410000,40.0027615000,-80.2847410000,40.0027615000,Greene
"POINT (-80.264461080604178 39.942536937978517)",-80.2644610000,39.9425369000,-80.2644610000,39.9425369000,Greene
"POINT (-80.264709258153388 39.945330292369846)",-80.2647090000,39.9453302000,-80.2647090000,39.9453302000,Greene
"POINT (-80.264359872674447 39.945927526274382)",-80.2643590000,39.9459275000,-80.2643590000,39.9459275000,Greene
"POINT (-80.264975 39.944995)",-80.2649750000,39.9449950000,-80.2649750000,39.9449950000,Greene
"POINT (-80.26606 39.943778)",-80.2660600000,39.9437780000,-80.2660600000,39.9437780000,Greene
"POINT (-80.1439350061856 39.90534908760506)",-80.1439350000,39.9053490000,-80.1439350000,39.9053490000,Greene
"POINT (-80.109426716080193 39.986844661108933)",-80.1094260000,39.9868446000,-80.1094260000,39.9868446000,Greene
"POINT (-79.542308848051022 40.792608326126377)",-79.5423080000,40.7926083000,-79.5423080000,40.7926083000,Armstrong
"POINT (-79.539347911798956 40.896634905521651)",-79.5393470000,40.8966349000,-79.5393470000,40.8966349000,Armstrong
"POINT (-79.458382499999956 40.826005)",-79.4583820000,40.8260050000,-79.4583820000,40.8260050000,Armstrong
"POINT (-77.61405030319473 41.668987651415804)",-77.6140500000,41.6689876000,-77.6140500000,41.6689876000,Potter
"POINT (-76.106759 41.517515)",-76.1067590000,41.5175150000,-76.1067590000,41.5175150000,Wyoming
"POINT (-75.936962 41.624939)",-75.9369620000,41.6249390000,-75.9369620000,41.6249390000,Wyoming
"POINT (-79.489043 40.7631375)",-79.4890430000,40.7631375000,-79.4890430000,40.7631375000,Armstrong
"POINT (-80.12824 39.897431)",-80.1282400000,39.8974310000,-80.1282400000,39.8974310000,Greene
"POINT (-80.341786932715465 39.854589971656097)",-80.3417860000,39.8545899000,-80.3417860000,39.8545899000,Greene
"POINT (-80.482441 39.790037)",-80.4824410000,39.7900370000,-80.4824410000,39.7900370000,Greene
"POINT (-80.284758917112029 39.816123744746584)",-80.2847580000,39.8161237000,-80.2847580000,39.8161237000,Greene
"POINT (-80.288787 39.9934995)",-80.2887870000,39.9934995000,-80.2887870000,39.9934995000,Greene
"POINT (-79.52634 40.865212)",-79.5263400000,40.8652120000,-79.5263400000,40.8652120000,Armstrong
"POINT (-80.006984830305441 39.761917944690865)",-80.0069840000,39.7619179000,-80.0069840000,39.7619179000,Greene
"POINT (-78.388111760677873 41.104623109791596)",-78.3881110000,41.1046231000,-78.3881110000,41.1046231000,Clearfield
"POINT (-80.490203785889747 40.657362514731034)",-80.4902030000,40.6573625000,-80.4902030000,40.6573625000,Beaver
"POINT (-78.795752980017056 41.950213334948572)",-78.7957520000,41.9502133000,-78.7957520000,41.9502133000,Mckean
"POINT (-80.054088496299286 40.839594576821639)",-80.0540880000,40.8395945000,-80.0540880000,40.8395945000,Butler
"POINT (-79.838779808217907 40.8458093396859)",-79.8387790000,40.8458093000,-79.8387790000,40.8458093000,Butler
"POINT (-80.017084781661282 40.781171953984391)",-80.0170840000,40.7811719000,-80.0170840000,40.7811719000,Butler
"POINT (-75.969277117022727 41.607243194293382)",-75.9692770000,41.6072431000,-75.9692770000,41.6072431000,Wyoming
"POINT (-78.351101756961299 41.126307699426008)",-78.3511010000,41.1263076000,-78.3511010000,41.1263076000,Clearfield
"POINT (-78.36654771365825 41.641687239874663)",-78.3665470000,41.6416872000,-78.3665470000,41.6416872000,Mckean
"POINT (-78.799078860616333 41.218151846828142)",-78.7990780000,41.2181518000,-78.7990780000,41.2181518000,Jefferson
